Sno,Date,week,total sleep,deep sleep,light sleep,awake,daily distance,daily steps,daily calories burned,walk distance,walk minutes,walk calories
1,2017+AC0-03+AC0-12,11,392,254,138,3,47,68,2,47,1,2
2,2017+AC0-03+AC0-13,11,465,252,213,18,4965,6203,278,4849,85,272
3,2017+AC0-03+AC0-14,11,347,197,150,0,6539,8455,365,6272,105,351
4,2017+AC0-03+AC0-15,11,532,236,296,11,5732,7090,327,5503,97,314
5,2017+AC0-03+AC0-16,11,367,191,176,17,2579,3427,148,2155,52,135
6,2017+AC0-03+AC0-17,11,470,274,196,4,9335,11375,512,8952,125,491
7,2017+AC0-03+AC0-18,11,384,168,216,3,6850,8813,383,6618,116,370
8,2017+AC0-03+AC0-19,12,496,285,211,8,4691,5943,263,4492,87,252
9,2017+AC0-03+AC0-20,12,,,,,,,,,,
10,2017+AC0-03+AC0-21,12,,,,,,,,,,
11,2017+AC0-03+AC0-22,12,,,,,,,,,,
12,2017+AC0-03+AC0-23,12,,,,,,,,,,
13,2017+AC0-03+AC0-24,12,,,,,,,,,,
14,2017+AC0-03+AC0-25,12,,,,,,,,,,
